province,city,distance,rice_ratio,Lineage,fr,sex_ratio,FS,P_tgf,P_ila,dr,pd,lon,lat,GDP,nap,CD
陕西,西乡,1387.8,27.2915,0.74668,1.44,109.8851,2.89,18.477042,15.273056,1.592456,104.93827160493828,107.77,32.98,368,13.86,23.5999999999999
陕西,留坝,1360.2,27.2915,0.712871,1.38,98.61325,3.18,23.600357,17.316855,2.633942,20.42900919305414,106.92,33.62,578,17.27,23.1
陕西,镇巴,1445.6,27.2915,0.704107,1.52,112.9419,3.29,27.201621,14.428909,1.3725,70.298769771529,107.9,32.53,2487,10.35,21.5
陕西,洋县,1297.4,27.2915,0.752508,1.46,110.2577,3.08,23.388205,12.901023,1.17364,112.2894572676232,107.55,33.22,4923,13.3,23.9
陕西,城固,1316.4,27.2915,0.748148,1.36,106.332,3.02,23.547359,12.951219,1.736286,189.84547461368652,107.33,33.15,7753,18.43,23.9
陕西,略阳,1450.3,27.2915,0.740799,1.3,111.7211,3.11,23.174985,13.517739,1.856608,49.452490286117985,106.15,33.33,3874,28.4,22.6
陕西,佛坪,1273.6,27.2915,0.672113,1.49,100.3738,3.16,20.623371,13.238488,1.839465,23.455824863174357,107.98,33.53,323,17.13,22.3
陕西,凤翔,1231.1,0.4264,0.701335,1.5,110.6138,3.55,28.933486,7.774175,1.015994,407.1246819338423,107.38,34.52,128,12.17,28.1
陕西,岐山,1203.7,0.4264,0.809244,1.45,108.9364,3.46,25.982426,10.395643,1.363361,443.9252336448598,107.62,34.45,9674,16.39,28.9
陕西,千阳,1248.7,0.4264,0.799782,1.58,112.7981,3.41,25.439171,10.28386,1.163222,110.4417670682731,107.13,34.65,1561,14.22,28.5
陕西,陇县,1286.3,0.4264,0.773903,1.59,119.3244,3.8,31.161961,6.638409,1.180296,96.28008752735231,106.85,34.9,2938,12.17,28.2
陕西,麟游,1178.4,0.4264,0.834541,1.53,111.2123,3.49,22.629895,11.501235,0.984887,46.948356807511736,107.78,34.68,1329,11.93,27.8
