"","fertility","RSB","clan","rice","lon","lat","pd","gdp","noarg"
"fertility",0,1.04600109711953e-29,9.95567112982229e-13,0.9494205538479,0.00514173386577426,0.000301747570552066,0.000784029802271471,1.48779580254893e-14,0.415658107258394
"RSB",1.04600109711953e-29,0,1.21523703632662e-19,0.43246180234935,0.0345865974777048,7.36940340022456e-05,0.0154596576148935,0.0144494947685526,0.239386185097441
"clan",9.95567112982229e-13,1.21523703632662e-19,0,0.852000804337046,0.908047575358891,0.122541827204375,0.854780008944403,0.316375631406404,0.445025111535636
"rice",0.9494205538479,0.43246180234935,0.852000804337046,0,0.449185001129478,1.37092829197198e-12,0.0645376466737086,0.00606004536316488,0.0112028751502533
"lon",0.00514173386577426,0.0345865974777048,0.908047575358891,0.449185001129478,0,2.88621629478645e-15,0.157209157887832,0.0431988649827496,0.000788077593504827
"lat",0.000301747570552066,7.36940340022456e-05,0.122541827204375,1.37092829197198e-12,2.88621629478645e-15,0,1.00769147740727e-06,0.742111269883878,1.89627275629372e-09
"pd",0.000784029802271471,0.0154596576148935,0.854780008944403,0.0645376466737086,0.157209157887832,1.00769147740727e-06,0,0.000108622424961274,1.09112273469399e-06
"gdp",1.48779580254893e-14,0.0144494947685526,0.316375631406404,0.00606004536316488,0.0431988649827496,0.742111269883878,0.000108622424961274,0,0.0322121161200664
"noarg",0.415658107258394,0.239386185097441,0.445025111535636,0.0112028751502533,0.000788077593504827,1.89627275629372e-09,1.09112273469399e-06,0.0322121161200664,0
