"","fertility","RSB","clan","rice","lon","lat","pd","gdp","noarg"
"fertility",0,9.76964236354238e-30,9.76168412403145e-13,0.935592128644197,0.0048204373070951,0.000298703425526325,0.0006838881487376,2.16903860478072e-14,0.333480337741157
"RSB",9.76964236354238e-30,0,9.35319140009112e-20,0.422114967418519,0.0359216205913477,6.95251371291596e-05,0.0132724548047857,0.0161884549000401,0.231794710644206
"clan",9.76168412403145e-13,9.35319140009112e-20,0,0.837893144675525,0.893650647915269,0.12048648499728,0.844095219935625,0.292053668687289,0.471134138798133
"rice",0.935592128644197,0.422114967418519,0.837893144675525,0,0.42803521447878,1.18904909473928e-12,0.0620404614275584,0.00580199674467121,0.0150122665160639
"lon",0.0048204373070951,0.0359216205913477,0.893650647915269,0.42803521447878,0,3.02199509352234e-15,0.176104049876523,0.0481495822010099,0.000934900922871268
"lat",0.000298703425526325,6.95251371291596e-05,0.12048648499728,1.18904909473928e-12,3.02199509352234e-15,0,9.0008912421187e-07,0.793168829806475,8.73507937332492e-09
"pd",0.0006838881487376,0.0132724548047857,0.844095219935625,0.0620404614275584,0.176104049876523,9.0008912421187e-07,0,0.000169284653822897,5.44111657284417e-06
"gdp",2.16903860478072e-14,0.0161884549000401,0.292053668687289,0.00580199674467121,0.0481495822010099,0.793168829806475,0.000169284653822897,0,0.0650465436587574
"noarg",0.333480337741157,0.231794710644206,0.471134138798133,0.0150122665160639,0.000934900922871268,8.73507937332492e-09,5.44111657284417e-06,0.0650465436587574,0
