"","fertility","RSB","clan","rice","lon","lat","pd","gdp","noarg"
"fertility",1,0.698426366713566,0.482911524118159,-0.00458392791962769,-0.200142732188068,-0.256751569367595,-0.239762591654912,-0.515340636608536,-0.0587694088472051
"RSB",0.698426366713566,1,0.590805998047458,0.0566796730270251,-0.151817025992616,-0.280672810812066,0.174095982814775,-0.17537490304949,-0.084865351230583
"clan",0.482911524118159,0.590805998047458,1,0.0134811826183692,0.00834632314025296,-0.111241042037488,0.0132598380762292,-0.0723077229061322,0.0551476314762844
"rice",-0.00458392791962769,0.0566796730270251,0.0134811826183692,1,0.0546457724596458,-0.480297359375277,0.133325611579498,0.196391204197086,-0.181751502790034
"lon",-0.200142732188068,-0.151817025992616,0.00834632314025296,0.0546457724596458,1,0.527116159014972,-0.102216524928971,0.145323159748259,0.239055664856811
"lat",-0.256751569367595,-0.280672810812066,-0.111241042037488,-0.480297359375277,0.527116159014972,1,-0.343463048495033,-0.0237753501456443,0.41437281746974
"pd",-0.239762591654912,0.174095982814775,0.0132598380762292,0.133325611579498,-0.102216524928971,-0.343463048495033,1,0.27499870080875,-0.342429073987402
"gdp",-0.515340636608536,-0.17537490304949,-0.0723077229061322,0.196391204197086,0.145323159748259,-0.0237753501456443,0.27499870080875,1,-0.153847596582046
"noarg",-0.0587694088472051,-0.084865351230583,0.0551476314762844,-0.181751502790034,0.239055664856811,0.41437281746974,-0.342429073987402,-0.153847596582046,1
