"","fertility","RSB","clan","rice","lon","lat","pd","gdp","noarg"
"fertility",1,0.697408242718418,0.481974324710152,-0.00582440524152082,-0.201084859292438,-0.256286165796248,-0.241751258555355,-0.512568203133599,-0.0696209651594336
"RSB",0.697408242718418,1,0.591058134343129,0.057810230449642,-0.150339226679398,-0.280912382715426,0.177526013949432,-0.172461927863115,-0.0860235705177821
"clan",0.481974324710152,0.591058134343129,1,0.0147449345650165,0.00963519886937438,-0.111563519888323,0.0142103389872618,-0.076027802823676,0.0519046496943445
"rice",-0.00582440524152082,0.057810230449642,0.0147449345650165,1,0.0570769520805703,-0.480368355470226,0.134231982105732,0.197390951376511,-0.173953526912702
"lon",-0.201084859292438,-0.150339226679398,0.00963519886937438,0.0570769520805703,1,0.525632175581278,-0.0975274218140432,0.142069499698019,0.235171658359666
"lat",-0.256286165796248,-0.280912382715426,-0.111563519888323,-0.480368355470226,0.525632175581278,1,-0.344078530121539,-0.0189454610206025,0.397478915365764
"pd",-0.241751258555355,0.177526013949432,0.0142103389872618,0.134231982105732,-0.0975274218140432,-0.344078530121539,1,0.266831048973702,-0.319904300923615
"gdp",-0.512568203133599,-0.172461927863115,-0.076027802823676,0.197390951376511,0.142069499698019,-0.0189454610206025,0.266831048973702,1,-0.132729932168507
"noarg",-0.0696209651594336,-0.0860235705177821,0.0519046496943445,-0.173953526912702,0.235171658359666,0.397478915365764,-0.319904300923615,-0.132729932168507,1
